Item Number,Account Code,QtyBuy,Qty Requested,Qty Shipped,Unit Cost AVG,Sub Total AVG,Total value,Days AVG,Qty on Hand,Cost,Location 2,Location 3,Location 4
4660491,0000-2400-24,112,309,305,2319.4011,6192.8398,693598.06,48,8,2490.95,Upstairs (Cage Area),Rack 2A,Row 9
MM CV Port X LocScrw,0000-2400-24,10,8,8,88,70.4,704,45,10,92.4,Upstairs (Cage Area),Rack 2A,Row 7
811404691,0000-2400-24,126,138,138,7289.7931,8129.378,1024301.63,43,7,5588.7,Floor (In Cage),Rack 1,Row 3
NMP6-3B (ReCert),0000-2400-24,98,83,82,7165.1452,6196.0394,607211.87,42,1,7876.54,Floor (In Cage),Mesh Rack,Row 5
BMEXBP0800,0000-2400-22,2,3,3,470.085,701.605,1403.21,41,1,402.64,Upstairs (Cage Area),Rack 1,Row 1
55B-12-PE-502JD-3127,0000-2400-22,66,152,152,148.8653,347.5231,22936.53,39,12,143.5,Upstairs (Cage Area),Rack 1,Row 4
MM-001,0000-2400-24,13,9,9,22170.6923,15247.6153,198219,39,1,21786.5,HMC Clean Room,Centre Shelving,
VBRS4.4-2RK4T-1/1/S101/CS12973,0000-2400-22,125,908,898,51.826,374.9746,46871.83,36,11,52.37,Upstairs (Cage Area),Rack 2B,Row 1
BHS006U,0000-2400-24,14,11,10,522.185,409.6857,5735.6,35,1,502.14,Upstairs (Cage Area),Rack 2C,Row 6
MM2X2-D-001,0000-2400-24,3,1,1,37545,12515,37545,28,2,37545,HMC Clean Room,Centre Shelving,
4648351,0000-2400-24,190,322,318,187.8728,317.281,60283.4,28,6,167.51,Upstairs (Cage Area),Rack 2A,Row 2
4648516,0000-2400-24,194,328,326,174.2139,293.3589,56911.63,28,4,135,Upstairs (Cage Area),Rack 2A,Row 2
A2VK12MAOR4G1PE1-SO2,0000-2400-22,207,229,226,6150.7758,6844.3303,1416776.39,27,10,5701.32,Floor (In Cage),Rack 2,Row 4
4605815,0000-2400-22,2,4,4,259.96,519.92,1039.84,27,3,406.65,Upstairs (Cage Area),Rack 2A,Row 1
Nozzle-1.20,0000-2400-24,134,190,189,368.8774,514.4622,68937.94,25,3,395,Upstairs (Cage Area),In Cabinet,Row 1
021LDSPLT01-C00,0000-2400-24,65,63,63,1432.1016,1394.8678,90666.41,24,7,1376,Upstairs (Cage Area),Rack 1,Row 2
AltrimImpingRefurReCert-1.25mm,0000-2400-24,168,152,151,2669.6078,2470.9036,415111.81,24,3,2987.65,Floor (In Cage),Mesh Rack,Row 1
MM CV Port X,0000-2400-24,20,18,18,52.702,48.031,960.62,24,11,61.69,Upstairs (Cage Area),Rack 2A,Row 7
MM Bleed Screw,0000-2400-24,22,20,20,840,763.6363,16800,23,5,840,Upstairs (Cage Area),Rack 2A,Row 7
Nozzle-1.70,0000-2400-24,162,351,347,348.7595,754.3232,122200.36,22,1,395,Upstairs (Cage Area),In Cabinet,Row 2
4605815,0000-2400-24,242,382,384,327.3831,515.6553,124788.59,22,3,406.65,Upstairs (Cage Area),Rack 2A,Row 1
MM - 1 818 509 583,0000-2400-24,25,20,20,362.92,290.336,7258.4,19,7,362.92,Upstairs (Cage Area),Rack 2A,Row 6
4673874-C,0000-2400-24,241,1,0,31526.8287,2715.9309,654539.37,17,1,38748.09,Floor (In Cage),Pourhead Rack,
NMP-5V22ASY (ReCert),0000-2400-24,275,276,275,4798.2972,4912.0501,1350813.8,16,10,5412.89,Floor (In Cage),Mesh Rack,Row 6
4660491-MOD,0000-2400-24,369,18,19,2858.727,477.1202,176057.37,14,2,2875.95,Upstairs (Cage Area),Rack 2A,Row 6
A2VK28MAOR1G1PE1-SO2,0000-2400-22,419,523,524,7464.0092,9237.8945,3870677.81,13,29,7705,Floor (In Cage),Rack 2,Row 5
4673874-F,0000-2400-24,304,2,0,31962.2044,2336.0674,710164.51,12,1,39723.09,Floor (In Cage),Pourhead Rack,
ISOFIX-NH-B-HEAD,0000-2400-24,384,429,418,626.6901,705.3515,270855.01,11,4,550,Upstairs (Cage Area),Rack 2A,Row 6
4605748 - 3.0mm Altrim,0000-2400-24,463,-7,-9,10635.8865,46.34,21455.42,11,7,10940.4,Floor (In Cage),Mesh Rack,Row 6
4605748,0000-2400-24,472,25,27,8658.5285,273.7462,129208.21,11,8,8960.4,Upstairs (Cage Area),Rack 1,Row 2
4673874,0000-2400-24,779,817,803,18322.2466,19025.5106,14820872.79,7,18,20515.95,HMC Clean Room,Centre Shelving,
RTD3040/3033 (34-40mesh),0000-2400-24,630,1429751,1431251,5.7457,7625.9857,4804371,7,3000,3.51,Floor (In Cage),Rack 1,Row 4
MM3B-barrel,0000-2400-24,46,50,50,907.9076,1000.4076,46018.75,6,13,925,HMC Clean Room,Centre Shelving,
N2-34,0000-2400-22,2,4,4,1020.5,2041,4082,5,3,785,Upstairs (Cage Area),Rack 2A,Row 6
ISOFIX-NH-B-HEAD,0000-2400-22,2,2,2,594,594,1188,4,4,550,Upstairs (Cage Area),Rack 2A,Row 6
FK 4.5-2/14.5/S613,0000-2400-22,1,3,3,16.11,48.33,48.33,0,2,14.01,Upstairs (Cage Area),Rack 2C,Row 6
PGP511A0230CA1H2ND6D5B1B1,0000-2400-22,1,1,1,477.25,477.25,477.25,0,4,415,Upstairs (Cage Area),Rack 1,Row 5
BH20L4R1C7M1G18F-034,0000-2400-22,1,-2,-2,5196.92,-10393.84,-10393.84,0,2,5196.92,Floor (In Cage),Rack 3,Row 1
NOZ-BRZ-1.15,0000-2400-24,1,2,2,330,660,660,0,4,352.5,Upstairs (Cage Area),In Cabinet,Row 1
4612795,0000-2400-24,1,1,1,180.71,180.71,180.71,0,2,152.5,Upstairs (Cage Area),In Cabinet,Row 4
VBRS 4.4-2WK 4T-2/2/S101,0000-2400-22,1,5,5,73.5,367.5,367.5,0,10,63.91,Upstairs (Cage Area),Rack 2B,Row 2
4618624,0000-2400-24,1,-2,-2,65.07,-130.14,-130.14,0,2,53,Upstairs (Cage Area),In Cabinet,Row 5
Nozzle-1.50-EU,0000-2400-24,2,0,0,316.355,758.625,1517.25,0,5,245,Upstairs (Cage Area),In Cabinet,Row 2
RTD 3046-24,0000-2400-22,1,1,1,320.76,320.76,320.76,0,2,495,Upstairs (Cage Area),Rack 2A,Row 4
